Unique ID,Coral species,Phylo ID gene,ITS2 Phylo,Phylotype TT Score (Rk),Colony Number,Sampling Location,Realm (Spalding 2007),Province (Spalding 2007),Ecoregion (Spalding 2007),Depth (m),Min Depth (m),Max Depth (m),Lat,Long,Conditions,Database,Phylotype GenBank  # ,Notes,Phylotype ID Methods,Citation,Phylotype Survey Date,Survey begin mo,Survey begin year,Survey end mo,Survey end year,Symbiodinium in propagules,Mode of larval development,Sexual system,,,,
9749,Montipora hispida,ITS2,C26a,4.390125354,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8,1,8,-18.478069,146.870659,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,Yes,spawner,hermaphrodite,,,,
9753,Montipora monasteriata,ITS2,C26a,4.390125354,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1–8,1,8,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,Yes,spawner,hermaphrodite,,,,
X2,Montipora turtlensis,ITS2,C26a,4.390125354,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8,1,8,-18.478069,146.870659,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,Yes,spawner,hermaphrodite,,,,
X3,Goniopora fruticosa,ITS2,D4-5,4.390125354,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,gonochore,,,,
512,Seriatopora hystrix,ITS2,C120a,5.268150425,NA,"Day Reef, GBR",Central Indo-Pacific,Northeast Australian Shelf,Torres Strait Northern Great Barrier Reef,2,2,2,-14.4745556,145.5386389,Normal Conditions,SymbioGBR,HM185738,,DGGE of ITS2 & sequencing,Bongaerts 2010 PLoS1 Genetic divergence across habitats in the widespread coral Seriatopora hystrix,,2,2008,2,2008,Yes,brooder,hermaphrodite,,,,
675,Seriatopora hystrix,ITS2,C1m-aa,5.268150425,NA,"Day Reef, GBR",Central Indo-Pacific,Northeast Australian Shelf,Torres Strait Northern Great Barrier Reef,2,2,2,-14.4745556,145.5386389,Normal Conditions,SymbioGBR,HM185741,,DGGE of ITS2 & sequencing,Bongaerts 2010 PLoS1 Genetic divergence across habitats in the widespread coral Seriatopora hystrix,,2,2008,2,2008,Yes,brooder,hermaphrodite,,,,
X4,Porites monticulosa,ITS2,C161,7.902225637,NA,"Lizard Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Torres Strait Northern Great Barrier Reef,27,27,27,-14.6166389,145.6364167,Normal Conditions,,,,DGGE of ITS2 & sequencing,Tonk 2014 JPhycol Symbiodinium diversity in reef invertebrates,,10,2007,9,2008,Yes,spawner,gonochore,,,,
X5,Paragoniastrea australensis,ITS2,C1hh,7.902225637,NA,Dunsborough,Temperate Australasia,Southwest Australian Shelf,Leeuwin,15,15,15,-33.614072,115.116015,Normal Cond,,,,DGGE of ITS2 & sequencing,Silverstein 2011 MEPS Novel algal symbiont diversity in reef corals of Western Australia,6/1/05,6,2005,6,2005,No,spawner,hermaphrodite,,,,
X6,Coscinaraea mcneilli,ITS2,C7d,7.902225637,NA,Dunsborough,Temperate Australasia,Southwest Australian Shelf,Leeuwin,15,15,15,-33.614072,115.116015,Normal Cond,,,,DGGE of ITS2 & sequencing,Silverstein 2011 MEPS Novel algal symbiont diversity in reef corals of Western Australia,6/1/05,6,2005,6,2005,No,spawner,gonochore,,,,
X7,Turbinaria reniformis,ITS2,C7d,7.902225637,NA,Dunsborough,Temperate Australasia,Southwest Australian Shelf,Leeuwin,15,15,15,-33.614072,115.116015,Normal Cond,,,,DGGE of ITS2 & sequencing,Silverstein 2011 MEPS Novel algal symbiont diversity in reef corals of Western Australia,6/1/05,6,2005,6,2005,No,spawner,gonochore,,,,
275,Seriatopora hystrix,ITS2,C120,7.902225637,NA,"Yonge Reef, GBR",Central Indo-Pacific,Northeast Australian Shelf,Torres Strait Northern Great Barrier Reef,2,2,2,-14.6166389,145.6364167,Normal Conditions,SymbioGBR,HM185737 ,,DGGE of ITS2 & sequencing,Bongaerts 2010 PLoS1 Genetic divergence across habitats in the widespread coral Seriatopora hystrix,,2,2008,2,2008,Yes,brooder,hermaphrodite,,,,
5149,Turbinaria mesenterina,ITS2,C127,7.902225637,NA,Dunsborough,Temperate Australasia,Southwest Australian Shelf,Leeuwin,15,15,15,-33.614072,115.116015,Normal Cond,,HQ328056,,DGGE of ITS2 & sequencing,Silverstein 2011 MEPS Novel algal symbiont diversity in reef corals of Western Australia,6/1/05,6,2005,6,2005,No,spawner,gonochore,,,,
5588,Pocillopora damicornis,ITS2,C42,7.902225637,NA,"Johnston Atoll, Hawaii",Eastern Indo-Pacific,Hawaii,Hawaii,15-20 m,15,20,18.078,-169.5328,Normal Cond,Aquarist,AY765402,,Cloning of ITS2 & sequencing,Stat 2009 MEPS Specificity in communities of Symbiodinium in corals from Johnston Atoll,June '06,6,2006,6,2006,Yes,brooder,hermaphrodite,,,,
5668,Pocillopora eydouxi,ITS2,C42,7.902225637,NA,"Johnston Atoll, Hawaii",Eastern Indo-Pacific,Hawaii,Hawaii,10-15 m,10,15,18.078,-169.5328,Normal Cond,GenBank,AY765402 ,,Cloning of ITS2 & sequencing,Stat 2009 MEPS Specificity in communities of Symbiodinium in corals from Johnston Atoll,June '06,6,2006,6,2006,Yes,spawner,hermaphrodite,,,,
16880,Pocillopora meandrina,ITS2,C42,7.902225637,NA,Maro,Eastern Indo-Pacific,Hawaii,Hawaii,10-20',10,20,25.5408333,-170.7980556,Normal Conditions,Original pub,,,Cloning of ITS2 & sequencing,Stat 2015 CoralReefs Geographic structure and host specificity,2005-2009,NA,2005,NA,2009,Yes,spawner,hermaphrodite,,,,
17523,Pocillopora verrucosa,ITS2,C42,7.902225637,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,21,21,21,-17.54749,-149.7686,Normal Conditions,Original Pub,HE579034,FR4,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,Yes,spawner,hermaphrodite,,,,
16854,Porites lobata,ITS2,C42,7.902225637,NA,Gardner,Eastern Indo-Pacific,Hawaii,Hawaii,10-20',10,20,25.0013889,-168.2369444,Normal Conditions,Original pub,,,Cloning of ITS2 & sequencing,Stat 2015 CoralReefs Geographic structure and host specificity,2005-2009,NA,2005,NA,2009,Yes,spawner,gonochore,,,,
8916,Acropora abrotanoides,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
2435,Acropora aspera,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,same_as_GU111884,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8924,Acropora austera,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
2437,Acropora clathrata,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,same_as_GU111884,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
2439,Acropora cytherea,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,same_as_GU111884,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
2443,Acropora elseyi,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,same_as_GU111884,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8933,Acropora florida,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8936,Acropora gemmifera,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8938,Acropora glauca,ITS2,C3z,8.780250708,NA,Bawe,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,2-6,2,6,-6.150539,39.131477,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,no,spawner,hermaphrodite,,,,
X8,Acropora hemprichii,ITS2,C3z,8.780250708,NA,Changuu,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,,4,7,-6.12007,39.168068,Normal Cond,Original publication,,,DGGE of ITS2 & sequencing,Chauka 2016 AfrJMarSci Influence of local environmental conditions and bleaching histories,,,,,,No,spawner,hermaphrodite,,,,
8941,Acropora horrida,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
2449,Acropora humilis,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,same_as_GU111884,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8945,Acropora latistella,ITS2,C3z,8.780250708,NA,Changuu,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,2-6,2,6,-6.12007,39.168068,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,No,spawner,hermaphrodite,,,,
8946,Acropora loripes,ITS2,C3z,8.780250708,NA,Bawe,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,2-6,2,6,-6.150539,39.131477,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,No,spawner,hermaphrodite,,,,
8947,Acropora lutkeni,ITS2,C3z,8.780250708,NA,Bawe,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,2-6,2,6,-6.150539,39.131477,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,No,spawner,hermaphrodite,,,,
15497,Acropora millepora,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,hermaphrodite,,,,
8957,Acropora muricata,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,NA,spawner,hermaphrodite,,,,
15486,Acropora nasuta,ITS2,C3z,8.780250708,NA,Fort Dauphin,Western Indo-Pacific,Western Indian Ocean,Southeast Madagascar,,1,30,-25,46.9,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,hermaphrodite,,,,
9213,Acropora robusta,ITS5,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
X9,Acropora retusa,ITS5,C3z,8.780250708,NA,Zanzibar,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,,1,7,-6.152622,39.13601,Normal Cond,Direct from publication,,,DGGE of ITS2 & sequencing,Chauka 2012 WIndOceaJMarSci Diversity of Symbiodinium in Tanzania,,4,2008,4,2008,No,spawner,hermaphrodite,,,,
X10,Acropora rudis,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
9215,Acropora samoensis,ITS2,C3z,8.780250708,NA,Changuu,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,2-6,2,6,-6.12007,39.168068,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,No,spawner,hermaphrodite,,,,
2469,Acropora secale,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,same_as_GU111884,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8971,Acropora solitaryensis,ITS2,C3z,8.780250708,NA,Banda Kuu ,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,3-12,3,12,-5.730116,39.303497,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,No,spawner,hermaphrodite,,,,
8979,Acropora subulata,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8985,Acropora tenuis,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
8993,Acropora valida,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
16114,Coscinaraea monile,ITS2,C3z,8.780250708,NA,Vohemar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,50,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,gonochore,,,,
15511,Diploastrea heliopora,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,gonochore,,,,
15517,Dipsastraea favus,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,NA,NA,NA,,,,
2522,Favites abdita,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,same_as_GU111884,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
15487,Favites pentagona,ITS2,C3z,8.780250708,NA,Fort Dauphin,Western Indo-Pacific,Western Indian Ocean,Southeast Madagascar,,1,30,-25,46.9,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,hermaphrodite,,,,
15697,Galaxea fascicularis,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,3,2007,3,2007,No,spawner,gonochore,,,,
9043,Goniastrea edwardsi,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
9044,Goniastrea favulus,ITS2,C3z,8.780250708,NA,Changuu,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,2-6,2,6,-6.12007,39.168068,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,No,spawner,hermaphrodite,,,,
15636,Goniastrea retiformis,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,3,2007,3,2007,No,spawner,hermaphrodite,,,,
9053,Goniastrea stelligera,ITS2,C3z,8.780250708,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,NA,spawner,hermaphrodite,,,,
16089,Hydnophora exesa,ITS2,C3z,8.780250708,NA,Vohemar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,50,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,hermaphrodite,,,,
15671,Hydnophora microconos,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,3,2007,3,2007,No,spawner,hermaphrodite,,,,
15493,Isopora cuneata,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,NA,brooder,hermaphrodite,,,,
15498,Isopora palifera,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,brooder,hermaphrodite,,,,
15524,Leptoria phrygia,ITS2,C3z,8.780250708,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,hermaphrodite,,,,
9090,Merulina ampliata,ITS2,C3z,8.780250708,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
